id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,HvuaHP,https://example.com/rapid/delta/1,Service guide trail,True,2025-06-20 00:27:56,2025-09-17 09:45:22
2,314,zwYsGN,https://opswise.net/urban/valley/2,Incident notes harvest,False,2025-03-17 10:31:19,2025-06-15 11:10:55
3,17,0N6RoR,https://relay.cloud/clear/journey/3,Incident notes garden,True,2025-11-03 22:15:27,2026-01-26 10:44:55
4,25,Dap2JA,https://seeded.app/mellow/orbit/4,Status board pioneer,True,2025-11-09 18:13:23,2025-11-12 10:07:34
5,46,9Snx9m,https://relay.cloud/navy/uplink/5,Launch deck beacon,True,2025-11-01 18:08:51,2025-11-02 11:48:14
6,259,Kc9wA5,https://hackstack.io/forest/yard/6,Ops review signal,True,2025-11-30 22:46:14,2026-01-11 04:41:56
7,121,xACQhk,https://opswise.net/harbor/field/7,Roadmap update engine,True,2025-02-23 10:41:27,2025-11-04 08:06:06
8,327,OXyA2v,https://acme.dev/clear/delta/8,Alert feed anchor,True,2026-02-10 07:57:14,2026-02-10 16:52:32
9,331,NUsTnO,https://seeded.app/cobalt/anchor/9,Roadmap update pioneer,True,2025-11-10 13:28:23,2026-01-16 07:15:46
10,378,jR3oww,https://seeded.app/opal/delta/10,Alert feed harvest,False,2025-11-03 12:06:33,2025-11-26 23:20:37
11,117,TpIjcx,https://acme.dev/opal/pioneer/11,Roadmap update trail,True,2025-02-10 23:00:18,2025-12-22 22:26:24
12,258,6HNseO,https://acme.dev/proud/journey/12,Campaign page meadow,True,2025-03-17 16:16:37,2025-05-09 09:01:45
13,128,5OForJ,https://seeded.app/silver/zenith/13,Quarterly brief harvest,False,2025-12-26 10:39:35,2026-02-16 21:54:19
14,221,IpvJdx,https://example.com/lively/island/14,Roadmap update engine,True,2025-09-14 01:23:31,2025-11-27 20:10:27
15,236,wKhiNc,https://relay.cloud/brisk/kernel/15,Campaign page anchor,True,2026-02-11 13:44:12,2026-02-12 08:37:16
16,241,KOeWf4,https://acme.dev/navy/quartz/16,Quarterly brief beacon,True,2025-09-29 05:45:32,2025-11-04 08:27:26
17,144,qiTXiR,https://opswise.net/ember/signal/17,Campaign page signal,True,2025-11-18 23:58:49,2026-02-14 11:25:20
